Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize
NFO,45857,75,NIFTY,NIFTY13MAR25C28200,2025-03-13,OPTIDX,CE,28200.0,0.05
NFO,45854,75,NIFTY,NIFTY13MAR25P28150,2025-03-13,OPTIDX,PE,28150.0,0.05
NFO,45844,75,NIFTY,NIFTY13MAR25C28150,2025-03-13,OPTIDX,CE,28150.0,0.05
NFO,45843,75,NIFTY,NIFTY13MAR25P28100,2025-03-13,OPTIDX,PE,28100.0,0.05
NFO,45840,75,NIFTY,NIFTY13MAR25C28100,2025-03-13,OPTIDX,CE,28100.0,0.05
NFO,45839,75,NIFTY,NIFTY13MAR25P28050,2025-03-13,OPTIDX,PE,28050.0,0.05
NFO,45838,75,NIFTY,NIFTY13MAR25C28050,2025-03-13,OPTIDX,CE,28050.0,0.05
NFO,45834,75,NIFTY,NIFTY13MAR25P28000,2025-03-13,OPTIDX,PE,28000.0,0.05
NFO,45833,75,NIFTY,NIFTY13MAR25C28000,2025-03-13,OPTIDX,CE,28000.0,0.05
NFO,45832,75,NIFTY,NIFTY13MAR25P27950,2025-03-13,OPTIDX,PE,27950.0,0.05
NFO,45827,75,NIFTY,NIFTY13MAR25C27950,2025-03-13,OPTIDX,CE,27950.0,0.05
NFO,45823,75,NIFTY,NIFTY13MAR25P27900,2025-03-13,OPTIDX,PE,27900.0,0.05
NFO,45822,75,NIFTY,NIFTY13MAR25C27900,2025-03-13,OPTIDX,CE,27900.0,0.05
NFO,45821,75,NIFTY,NIFTY13MAR25P27850,2025-03-13,OPTIDX,PE,27850.0,0.05
NFO,45820,75,NIFTY,NIFTY13MAR25C27850,2025-03-13,OPTIDX,CE,27850.0,0.05
NFO,45819,75,NIFTY,NIFTY13MAR25P27800,2025-03-13,OPTIDX,PE,27800.0,0.05
NFO,45818,75,NIFTY,NIFTY13MAR25C27800,2025-03-13,OPTIDX,CE,27800.0,0.05
NFO,45816,75,NIFTY,NIFTY13MAR25P27750,2025-03-13,OPTIDX,PE,27750.0,0.05
NFO,45815,75,NIFTY,NIFTY13MAR25C27750,2025-03-13,OPTIDX,CE,27750.0,0.05
NFO,45814,75,NIFTY,NIFTY13MAR25P27700,2025-03-13,OPTIDX,PE,27700.0,0.05
NFO,45813,75,NIFTY,NIFTY13MAR25C27700,2025-03-13,OPTIDX,CE,27700.0,0.05
NFO,45808,75,NIFTY,NIFTY13MAR25P27650,2025-03-13,OPTIDX,PE,27650.0,0.05
NFO,45807,75,NIFTY,NIFTY13MAR25C27650,2025-03-13,OPTIDX,CE,27650.0,0.05
NFO,45803,75,NIFTY,NIFTY13MAR25P27600,2025-03-13,OPTIDX,PE,27600.0,0.05
NFO,45802,75,NIFTY,NIFTY13MAR25C27600,2025-03-13,OPTIDX,CE,27600.0,0.05
NFO,45796,75,NIFTY,NIFTY13MAR25P27550,2025-03-13,OPTIDX,PE,27550.0,0.05
NFO,45795,75,NIFTY,NIFTY13MAR25C27550,2025-03-13,OPTIDX,CE,27550.0,0.05
NFO,45788,75,NIFTY,NIFTY13MAR25P27500,2025-03-13,OPTIDX,PE,27500.0,0.05
NFO,45786,75,NIFTY,NIFTY13MAR25C27500,2025-03-13,OPTIDX,CE,27500.0,0.05
NFO,45785,75,NIFTY,NIFTY13MAR25P27450,2025-03-13,OPTIDX,PE,27450.0,0.05
NFO,45784,75,NIFTY,NIFTY13MAR25C27450,2025-03-13,OPTIDX,CE,27450.0,0.05
NFO,45781,75,NIFTY,NIFTY13MAR25P27400,2025-03-13,OPTIDX,PE,27400.0,0.05
NFO,45780,75,NIFTY,NIFTY13MAR25C27400,2025-03-13,OPTIDX,CE,27400.0,0.05
NFO,45778,75,NIFTY,NIFTY13MAR25P27350,2025-03-13,OPTIDX,PE,27350.0,0.05
NFO,45775,75,NIFTY,NIFTY13MAR25C27350,2025-03-13,OPTIDX,CE,27350.0,0.05
NFO,45769,75,NIFTY,NIFTY13MAR25P27300,2025-03-13,OPTIDX,PE,27300.0,0.05
NFO,45767,75,NIFTY,NIFTY13MAR25C27300,2025-03-13,OPTIDX,CE,27300.0,0.05
NFO,45766,75,NIFTY,NIFTY13MAR25P27250,2025-03-13,OPTIDX,PE,27250.0,0.05
NFO,45764,75,NIFTY,NIFTY13MAR25C27250,2025-03-13,OPTIDX,CE,27250.0,0.05
NFO,45759,75,NIFTY,NIFTY13MAR25P27200,2025-03-13,OPTIDX,PE,27200.0,0.05
NFO,45758,75,NIFTY,NIFTY13MAR25C27200,2025-03-13,OPTIDX,CE,27200.0,0.05
NFO,45757,75,NIFTY,NIFTY13MAR25P27150,2025-03-13,OPTIDX,PE,27150.0,0.05
NFO,45756,75,NIFTY,NIFTY13MAR25C27150,2025-03-13,OPTIDX,CE,27150.0,0.05
NFO,45755,75,NIFTY,NIFTY13MAR25P27100,2025-03-13,OPTIDX,PE,27100.0,0.05
